name,institute,profile_picture_url,author_page_url
"Hanik Lakhe",Smartphones For Water Nepal,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Photo_hanik-Hanik-Lakhe.webp,https://urfieldlab.com/UR2024/author/hanik.lakhe
Prabal Dahal,NIURS,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/PrabalDahal-Prabal-Dahal-uai-694x868.webp,https://urfieldlab.com/UR2024/author/prabal.dahal
"Rajib Neupane",Social Science Baha,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_1393-Rajib-Neupane-uai-694x868.webp,https://urfieldlab.com/UR2024/author/rajib.neupane
Yufang Gao,Yale University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/10-Gao-Yufang-uai-574x718.webp,https://urfieldlab.com/UR2024/author/yufang.gao
Asmita Rawat,European Union in Nepal,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Asmita_Rawat_bio-Asmita-Rawat.webp,https://urfieldlab.com/UR2024/author/asmita.rawat
"Nyima Dorjee Bhotia",Social Science Baha,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Nyima-Nyima-Dorjee-Bhotia-uai-651x813.webp,https://urfieldlab.com/UR2024/author/nyima.dorjee.bhotia
"Chi Huyen Truong (Shachi)",HUC Secretariat Lead,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Chi-Huyen-Truong-Shachi-uai-160x200.jpeg,Author page link not found
"Brad Bottoms",University of Michigan,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_20180906_123335-Brad-Bottoms-uai-641x801.webp,https://urfieldlab.com/UR2024/author/brad.bottoms
"Sunil Tamang","Geospatial Research Institute, University of Canterbury",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Sunil-Tamang-photo-Sunil-Tamang-uai-694x868.webp,https://urfieldlab.com/UR2024/author/sunil.tamang
"Wahaj Habib","Trinity College Dublin, Ireland",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/1705853474496-Wahaj-Habib-uai-489x612.jpg,https://urfieldlab.com/UR2024/author/wahaj.habib
Maicen Stuart,University of British Columbia,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/07ebb1ab-b788-4857-a635-5a860e00abc7-Maicen-Stuart-1-uai-510x638.webp,https://urfieldlab.com/UR2024/author/maicen.stuart
Tümüzo Katiry,The Highland Institute,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Passport-l-1-Tumuzo-Katiry-uai-670x837.webp,https://urfieldlab.com/UR2024/author/tumuzo.katiry
Sunayana Sen,Resurgence,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Profile-picture-Sunayana-Sen-uai-656x820.webp,https://urfieldlab.com/UR2024/author/sunayana.sen
Trailokaya Raj Bajgain,Duke University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/DSC_4147-Trailokaya-Bajgain-uai-512x641.webp,https://urfieldlab.com/UR2024/author/trailokaya.raj.bajgain
Madeeha Merchant,Urban Justice League,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/mm2-Madeeha-Merchant-uai-511x639.webp,https://urfieldlab.com/UR2024/author/madeeha.merchant
"Logan Emlet",Yale University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/emlet-Logan-Emlet-uai-651x813.webp,https://urfieldlab.com/UR2024/author/logan.emlet
Bingwei Tian,"Institute for Disaster Management and Reconstruction, Sichuan University-The Hong Kong Polytechnic University",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Headshot-B.-TIAN-uai-428x536.png,https://urfieldlab.com/UR2024/author/bingwei.tian
"Aqsa Mengal","Yale University, School of the Environment",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Headshot-Aqsa-Mengal-Aqsa-Mengal-uai-651x813.webp,https://urfieldlab.com/UR2024/author/aqsa.mengal
"Denis Samyn",Independent,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Denis_Himal2019-Den-Sam-e1715491683746-uai-476x595.webp,https://urfieldlab.com/UR2024/author/denis.samyn
Sonali Manimaran,Nanyang Technological University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_3675-Sonali-Manimaran-uai-488x610.webp,https://urfieldlab.com/UR2024/author/sonali.manimaran
Kishor Sharma,Independent Photographer/Filmmaker,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Kishor_portrait-Kishor-Sharma-uai-694x868.webp,https://urfieldlab.com/UR2024/author/kishor.sharma
"Laxmi Thapa",Aston University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Thapa_Laxmi-Laxmi-Thapa-uai-433x541.png,https://urfieldlab.com/UR2024/author/laxmi.thapa
Tenzin Yangkey,"University of Colorado, Boulder",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/yangkey-Tenzin-Yangkey-uai-651x813.webp,https://urfieldlab.com/UR2024/author/tenzin.yangkey
"Erik de Maaker",Institute for Cultural Anthropology and Development Sociology at the Leiden University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/image_360.png,https://urfieldlab.com/UR2024/author/erik.de.maaker
Prashant Singh,Goethe University Frankfurt,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/220315-SFB-301-Singh-04-72-Prashant-Singh-uai-579x723.webp,https://urfieldlab.com/UR2024/author/prashant.singh
Christina Justice,"University of Maryland/ NASA Harvest, USA",https://urfieldlab.com/UR2024/wp-content/uploads/2024/06/CJJustice_headshot2-Christina-Jade-Justice-uai-532x666.png,https://urfieldlab.com/UR2024/author/christina.justice
Lobsang Yangtso,International Tibet Network,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_1812-Lobsang-Yangtso-uai-600x750.webp,https://urfieldlab.com/UR2024/author/lobsang.yangtso
"Purin Phanichphant",UC Berkeley,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Purin-Profile-Pic-Photos-Purin-Phanichphant-uai-694x868.webp,https://urfieldlab.com/UR2024/author/purin.phanichphant
"Rajee Tamrakar",Southern Illinois University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_3834-scaled-uai-825x1032.jpg,https://urfieldlab.com/UR2024/author/rajee.tamrakar
"Nama Raj Budhathoki",Humanitarian OpenStreetMap Team (HOT),https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Nama-Raj-Budhathoki-uai-670x837.jpg,Author page link not found
Margaret Miles,University of Michigan AIDD Labs,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_6942-Maggie-Miles-uai-694x868.webp,https://urfieldlab.com/UR2024/author/margaret.miles
"Anna Ziya Geerling",The Highland Institute / UiT Arctic University of Norway,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/AZ-Geerling-Passphoto-Anna-Ziya-Geerling.webp,https://urfieldlab.com/UR2024/author/anna.ziya.geerling
"Tom White",Parallax Photo Journal/Independent,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Tom_White_2022_Colour-Tom-White.webp,https://urfieldlab.com/UR2024/author/tom.white
Tasfia Tasnim,SUNY College of Environmental Science and Forestry,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Tasfia-Tasnim-Tasfia-Tasnim-uai-511x639.webp,https://urfieldlab.com/UR2024/author/tasfia.tasnim
Sweata Sijapati,GeoHazards International,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Sweata-Sweata-Sijapati-uai-589x737.jpg,https://urfieldlab.com/UR2024/author/sweata.sijapati
"Leo Baldiga",Michigan State University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/1625729236372-Leo-Baldiga-uai-686x858.webp,https://urfieldlab.com/UR2024/author/leo.baldiga
"David Lallemant",Nanyang Technological University / Stanford Urban Resilience Initiative,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/images-1-e1715676684476-uai-404x506.jpeg,Author page link not found
"Hanna Geschewski","Chr. Michelsen Institute (CMI), Bergen, Norway",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Photo-Hanna-Geschewski-compressed-Hanna-Geschewski-uai-694x868.webp,https://urfieldlab.com/UR2024/author/hanna.geschewski
Abhaya Raj Joshi,Mongabay,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/head-shot-abhaya2-Abhaya-Raj-Joshi-uai-694x868.webp,https://urfieldlab.com/UR2024/author/abhaya.raj.joshi
Giulia Brutti,University College London (UCL),https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/headshot-Giulia-Brutti-uai-635x793.jpeg,https://urfieldlab.com/UR2024/author/giulia.brutti
"Bhola Saha",The Assam Royal Global University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Photo-2_Bhola-Saha-Bhola-Saha-1-scaled-e1715678590943-uai-825x1032.jpg,https://urfieldlab.com/UR2024/author/bhola.saha
"Jasna Budhathoki",Columbia University & Origin Investments,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Jasna-Pic-Jasna-Budhathoki-uai-640x800.jpeg,https://urfieldlab.com/UR2024/author/jasna.budhathoki
"Zaya Delgerjargal",Yale University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/DSC02533-1-Delgerzaya-Delgerjargal-uai-580x725.webp,https://urfieldlab.com/UR2024/author/zaya.delgerjargal
"Yue ""Major"" Zeng",University of Michigan,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Major-Zeng_Headshot-Major-Zeng-uai-694x868.webp,https://urfieldlab.com/UR2024/author/yue.major.zeng
"Yojan Basnet",Central Department of Anthropology/Tribhuvan University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/0-02-03-e0913c8a6b214ea2353f12a0c3031338efec54a534acafe2d8d424f24c05cfb5_5706221597593c6b-Yojan-Basnet-uai-400x500.webp,https://urfieldlab.com/UR2024/author/yojan.basnet
Thangsuanlian Naulak,Wildlife Institute of India,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Upload-Thangsuanlian-Naulak-uai-612x766.webp,https://urfieldlab.com/UR2024/author/thangsuanlian.naulak
Soumyadeep Roy,Independent,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Screenshot_20240403-224843-Soumyadeep-Roy-uai-694x868.webp,https://urfieldlab.com/UR2024/author/soumyadeep.roy
Simone Curtis,University of Michigan,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_1020.edited.favorite-Simone-Curtis.webp,https://urfieldlab.com/UR2024/author/simone.curtis
Shreni Rajbhandary,Cornell University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_0858-Shreni-Rajbhandary-uai-651x813.webp,https://urfieldlab.com/UR2024/author/shreni.rajbhandary
Sharif Islam,Massachusetts Institute of Technology,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/DP_Islam-Md.-Sariful-Islam-uai-511x639.webp,https://urfieldlab.com/UR2024/author/sharif.islam
Miriam Nielson,Institute not found,https://urfieldlab.com/UR2024/wp-content/uploads/2024/06/Miriam-Nielson-1-uai-409x512.jpeg,Author page link not found
"Arpan Upadhyay Pandit","Centre for Energy Studies, Tribhuvan University",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/PUL075BME011-ARPAN-PANDIT-uai-825x1032.jpg,https://urfieldlab.com/UR2024/author/arpan.upadhyay.pandit
"Sabin Gyawali",Tribhuvan University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_3258-sabinbataule-uai-825x1032.jpg,https://urfieldlab.com/UR2024/author/sabin.gyawali
Tenzin Norzin,Stanford University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/dummy-make-1-uai-240x300.jpg,https://urfieldlab.com/UR2024/author/tenzin.norzin
"Uttam Sharma","Institute for Social and Environmental Research - Nepal, and the University of MIchigan",https://urfieldlab.com/UR2024/wp-content/uploads/2024/06/Uttam-Sharma-UR-FL-uai-409x512.png,Author page link not found
"Neha Singh","Independent Researcher, India",https://urfieldlab.com/UR2024/wp-content/uploads/2024/06/Neha-Singh-UR-FL-uai-409x512.jpeg,Author page link not found
"Ugyen Thinley",Royal University of Bhutan,https://urfieldlab.com/UR2024/wp-content/uploads/2024/06/Ugyen-Thinley-UR-FL-uai-409x512.jpeg,Author page link not found
Jeevan Baniya,Social Science Baha,https://urfieldlab.com/UR2024/wp-content/uploads/2024/06/jeevan-baniya-3-300x300-2-uai-240x300.jpg,Author page link not found
Bibhor Bista,Institute not found,https://urfieldlab.com/UR2024/wp-content/uploads/2024/06/T06NPT05EEP-U074C47M03D-6fb04374f0b2-512-uai-409x512.jpeg,https://urfieldlab.com/UR2024/author/bibhor-bista/
